epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_sec,lr
0,6.7726,6.0972,0.0348,0.1041,3335.7,0.000025
1,6.4177,5.5029,0.0739,0.1979,3312.2,0.000050
2,6.2012,4.9797,0.1229,0.2892,3315.7,0.000075
3,5.9859,4.5171,0.1756,0.3785,3317.3,0.000100
4,5.7623,4.0401,0.2351,0.4599,3308.0,0.000125
5,5.5510,3.5985,0.2987,0.5429,3326.8,0.000125
6,5.3562,3.2945,0.3452,0.5964,3342.0,0.000125
7,5.2131,3.0843,0.3794,0.6335,4705.5,0.000125
8,5.0833,2.9381,0.4042,0.6584,3354.9,0.000124
9,5.0112,2.7585,0.4338,0.6875,3360.1,0.000124
10,4.9144,2.6363,0.4543,0.7064,3378.1,0.000124
11,4.8336,2.5367,0.4736,0.7220,3380.0,0.000123
