epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_sec,lr
0,6.7801,6.1118,0.0313,0.1010,3335.7,0.000025
1,6.4092,5.4741,0.0789,0.2075,3315.6,0.000050
2,6.1845,4.9660,0.1243,0.2910,3317.0,0.000075
3,5.9740,4.4546,0.1816,0.3869,3320.5,0.000100
4,5.7730,4.0421,0.2322,0.4597,3307.6,0.000125
5,5.5717,3.6298,0.2931,0.5369,3326.8,0.000125
6,5.3988,3.4219,0.3260,0.5735,3342.0,0.000125
7,5.2589,3.1697,0.3642,0.6169,4705.5,0.000125
8,5.1606,3.0153,0.3918,0.6430,3354.6,0.000124
9,5.0660,2.8308,0.4173,0.6707,3360.5,0.000124
10,4.9808,2.7219,0.4357,0.6901,3378.1,0.000124
11,4.9189,2.6403,0.4518,0.7044,3380.2,0.000123
