epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_sec,lr
0,6.8078,6.2565,0.0252,0.0812,3335.6,0.000025
1,6.4527,5.5899,0.0664,0.1816,3311.7,0.000050
2,6.2434,5.1007,0.1102,0.2703,3316.3,0.000075
3,6.0428,4.6501,0.1588,0.3491,3315.8,0.000100
4,5.8611,4.2824,0.2036,0.4156,3310.8,0.000125
5,5.6826,3.8993,0.2522,0.4853,3325.2,0.000125
6,5.5435,3.6208,0.2964,0.5350,3344.7,0.000125
7,5.4192,3.4659,0.3200,0.5660,4709.9,0.000125
8,5.3191,3.2807,0.3469,0.5984,3363.5,0.000124
9,5.2451,3.1650,0.3632,0.6152,3363.0,0.000124
10,5.1662,3.0303,0.3892,0.6423,3382.8,0.000124
11,5.1088,2.9799,0.3994,0.6467,3384.5,0.000123
