epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_sec,lr
0,6.7719,6.1058,0.0322,0.0997,3335.6,0.000025
1,6.4172,5.5226,0.0706,0.1931,3313.8,0.000050
2,6.2125,5.0653,0.1156,0.2740,3317.0,0.000075
3,6.0099,4.5534,0.1698,0.3687,3319.1,0.000100
4,5.8001,4.1098,0.2282,0.4493,3315.4,0.000125
5,5.6020,3.7380,0.2803,0.5171,3325.0,0.000125
6,5.4138,3.3963,0.3285,0.5773,3339.2,0.000125
7,5.2853,3.1877,0.3617,0.6144,4706.6,0.000125
8,5.1659,3.0189,0.3922,0.6413,3358.4,0.000124
9,5.0754,2.8568,0.4169,0.6704,3363.9,0.000124
10,4.9867,2.7714,0.4322,0.6835,3389.3,0.000124
11,4.9221,2.6664,0.4486,0.7030,3396.8,0.000123
