epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_sec,lr
0,6.7649,6.0732,0.0344,0.1065,1865.3,0.000050
1,6.4250,5.5095,0.0693,0.1889,1647.0,0.000100
2,6.1962,4.9125,0.1245,0.2928,1646.8,0.000150
3,5.9683,4.4972,0.1756,0.3748,1647.9,0.000200
4,5.7753,3.9952,0.2343,0.4612,1649.6,0.000250
5,5.5910,3.6587,0.2866,0.5291,1657.5,0.000250
6,5.4222,3.4260,0.3187,0.5648,1656.7,0.000250
7,5.2822,3.2188,0.3516,0.6036,1663.1,0.000249
8,5.1918,3.0090,0.3878,0.6423,1649.8,0.000249
9,5.1005,2.8954,0.4050,0.6602,1653.2,0.000248
10,5.0346,2.8106,0.4160,0.6689,1653.2,0.000248
11,4.9567,2.6967,0.4385,0.6916,1651.6,0.000247
12,4.9061,2.6362,0.4502,0.7046,1643.3,0.000246
13,4.8537,2.5218,0.4701,0.7217,1641.2,0.000245
14,4.8030,2.4569,0.4797,0.7321,1644.1,0.000243
15,4.7373,2.4032,0.4858,0.7386,1643.4,0.000242
16,4.7255,2.3860,0.4928,0.7422,1642.2,0.000240
17,4.6800,2.3244,0.5022,0.7498,1641.6,0.000239
18,4.6569,2.3082,0.5079,0.7556,1641.4,0.000237
19,4.6163,2.2314,0.5188,0.7633,1643.4,0.000235
20,4.5835,2.2405,0.5209,0.7659,1641.3,0.000233
21,4.5524,2.1711,0.5331,0.7770,1645.4,0.000231
22,4.5290,2.1723,0.5335,0.7787,1641.6,0.000229
23,4.5009,2.1092,0.5417,0.7830,1645.2,0.000226
24,4.4798,2.0560,0.5508,0.7919,1643.7,0.000224
25,4.4702,2.0505,0.5560,0.7951,1637.2,0.000221
26,4.4427,2.0243,0.5568,0.7965,1652.6,0.000218
27,4.4228,2.0141,0.5584,0.7996,1640.6,0.000216
28,4.4109,2.0142,0.5634,0.7998,1640.2,0.000213
29,4.3875,1.9912,0.5671,0.8044,1638.2,0.000210
30,4.3783,1.9593,0.5694,0.8044,1638.6,0.000207
31,4.3686,1.9158,0.5769,0.8115,1634.1,0.000203
32,4.3281,1.8997,0.5835,0.8155,1633.8,0.000200
33,4.3251,1.9115,0.5805,0.8133,1638.8,0.000197
34,4.2963,1.8802,0.5882,0.8190,1638.5,0.000193
35,4.2792,1.8629,0.5876,0.8179,1636.5,0.000190
36,4.2589,1.8380,0.5958,0.8262,1638.9,0.000186
37,4.2485,1.8399,0.5928,0.8250,1639.3,0.000183
38,4.2375,1.8365,0.5963,0.8266,1641.6,0.000179
39,4.2382,1.7872,0.6030,0.8296,1640.3,0.000175
40,4.1995,1.7763,0.6048,0.8313,1636.4,0.000171
41,4.1898,1.7623,0.6108,0.8355,1636.0,0.000168
42,4.1520,1.7342,0.6103,0.8359,1646.3,0.000164
43,4.1602,1.7201,0.6144,0.8387,1637.2,0.000160
44,4.1383,1.7672,0.6104,0.8375,1624.9,0.000156
45,4.1352,1.7104,0.6180,0.8420,1670.5,0.000152
46,4.0996,1.7136,0.6195,0.8440,1674.0,0.000148
47,4.1234,1.7092,0.6207,0.8441,1664.0,0.000144
48,4.0886,1.6796,0.6246,0.8446,1645.1,0.000139
49,4.0660,1.6751,0.6261,0.8468,1646.1,0.000135
50,4.0749,1.6587,0.6285,0.8505,1644.2,0.000131
51,4.0376,1.6424,0.6316,0.8510,1644.2,0.000127
52,4.0389,1.6176,0.6395,0.8547,1647.8,0.000123
53,4.0232,1.6087,0.6376,0.8554,1668.3,0.000119
54,4.0082,1.6122,0.6375,0.8565,1642.3,0.000115
55,3.9922,1.6068,0.6410,0.8581,1646.4,0.000111
56,3.9801,1.5878,0.6443,0.8591,1650.4,0.000106
57,3.9661,1.5695,0.6477,0.8628,1655.7,0.000102
58,3.9490,1.5392,0.6501,0.8632,1656.7,0.000098
59,3.9168,1.5393,0.6517,0.8643,1658.1,0.000094
60,3.9109,1.5645,0.6502,0.8646,1641.2,0.000090
61,3.8994,1.5313,0.6572,0.8668,1643.9,0.000086
62,3.9048,1.5225,0.6579,0.8690,1644.2,0.000082
63,3.8683,1.5118,0.6616,0.8686,1641.2,0.000079
64,3.8662,1.5199,0.6610,0.8694,1643.9,0.000075
65,3.8704,1.5084,0.6644,0.8725,1647.8,0.000071
66,3.8464,1.4845,0.6664,0.8732,1643.9,0.000067
67,3.8144,1.4859,0.6683,0.8754,1638.0,0.000064
68,3.8058,1.4408,0.6719,0.8774,1643.7,0.000060
69,3.7992,1.4544,0.6729,0.8771,1641.2,0.000057
70,3.7872,1.4537,0.6735,0.8768,1639.6,0.000053
71,3.7620,1.4193,0.6768,0.8810,1638.9,0.000050
72,3.7630,1.4136,0.6792,0.8820,1643.3,0.000047
73,3.7562,1.4059,0.6811,0.8829,1641.2,0.000043
74,3.7263,1.4074,0.6824,0.8836,1642.8,0.000040
75,3.7172,1.4064,0.6844,0.8846,1650.1,0.000037
76,3.7263,1.3846,0.6883,0.8860,1644.4,0.000034
