epoch,train_loss,val_loss,val_top1,val_top5,epoch_time_sec,lr
0,6.7553,6.0047,0.0389,0.1195,1657.9,0.000050
1,6.3832,5.4180,0.0780,0.2039,1626.1,0.000100
2,6.1774,4.8823,0.1317,0.3045,1623.7,0.000150
3,5.9537,4.4134,0.1823,0.3878,1623.9,0.000200
4,5.7467,3.9694,0.2411,0.4682,1626.5,0.000250
5,5.5974,3.6530,0.2890,0.5270,1623.9,0.000250
6,5.4457,3.4371,0.3229,0.5667,1622.3,0.000250
7,5.3176,3.2567,0.3510,0.5993,1619.9,0.000249
8,5.2209,3.0393,0.3821,0.6350,1629.0,0.000249
9,5.1550,2.9637,0.3969,0.6500,1628.4,0.000248
10,5.0820,2.8394,0.4147,0.6657,1615.9,0.000248
11,5.0125,2.7429,0.4353,0.6856,1618.9,0.000247
12,4.9409,2.6691,0.4484,0.6978,1626.9,0.000246
13,4.8977,2.5831,0.4621,0.7118,1626.5,0.000245
14,4.8381,2.5163,0.4729,0.7241,1626.4,0.000243
15,4.7956,2.4409,0.4822,0.7345,1625.4,0.000242
16,4.7507,2.4392,0.4898,0.7340,1624.3,0.000240
17,4.7232,2.3367,0.5052,0.7499,1624.5,0.000239
18,4.6718,2.3161,0.5073,0.7498,1626.1,0.000237
19,4.6603,2.2537,0.5195,0.7636,1627.0,0.000235
20,4.6161,2.2841,0.5139,0.7593,1627.1,0.000233
21,4.6074,2.1865,0.5301,0.7713,1626.9,0.000231
22,4.5647,2.1884,0.5292,0.7714,1623.7,0.000229
23,4.5483,2.1634,0.5359,0.7774,1625.2,0.000226
24,4.5288,2.1198,0.5417,0.7814,1629.1,0.000224
25,4.4983,2.0748,0.5507,0.7878,1632.0,0.000221
26,4.4661,2.0736,0.5513,0.7895,1633.2,0.000218
27,4.4747,2.0568,0.5572,0.7918,1630.8,0.000216
28,4.4243,2.0120,0.5631,0.7959,1622.6,0.000213
29,4.4259,1.9935,0.5657,0.8001,1619.6,0.000210
30,4.3917,1.9769,0.5668,0.8017,1623.1,0.000207
31,4.3715,1.9822,0.5704,0.8039,1625.3,0.000203
32,4.3673,1.9430,0.5775,0.8101,1624.7,0.000200
33,4.3461,1.9372,0.5796,0.8111,1623.4,0.000197
34,4.3146,1.9212,0.5795,0.8129,1626.3,0.000193
35,4.3011,1.8867,0.5870,0.8154,1621.8,0.000190
36,4.2970,1.8740,0.5873,0.8194,1624.7,0.000186
37,4.2686,1.8626,0.5896,0.8202,1622.4,0.000183
38,4.2707,1.8581,0.5940,0.8207,1626.3,0.000179
39,4.2479,1.8169,0.5996,0.8251,1631.9,0.000175
40,4.2246,1.7899,0.6028,0.8287,1628.8,0.000171
41,4.2124,1.8128,0.6037,0.8303,1625.5,0.000168
42,4.1963,1.7646,0.6075,0.8335,1626.4,0.000164
43,4.1744,1.7768,0.6102,0.8358,1632.6,0.000160
44,4.1609,1.7399,0.6131,0.8356,1627.7,0.000156
45,4.1579,1.7250,0.6178,0.8405,1637.2,0.000152
46,4.1365,1.7191,0.6220,0.8415,1669.9,0.000148
47,4.1137,1.7180,0.6203,0.8407,1670.0,0.000144
48,4.1052,1.6752,0.6271,0.8460,1647.1,0.000139
49,4.0985,1.6815,0.6260,0.8461,1643.5,0.000135
50,4.0853,1.6628,0.6285,0.8463,1642.8,0.000131
51,4.0686,1.6461,0.6323,0.8508,1638.0,0.000127
52,4.0691,1.6638,0.6330,0.8510,1631.1,0.000123
53,4.0424,1.6075,0.6384,0.8550,1641.6,0.000119
54,4.0215,1.6395,0.6352,0.8530,1642.2,0.000115
55,4.0064,1.6093,0.6414,0.8565,1636.8,0.000111
56,4.0013,1.6192,0.6395,0.8554,1631.5,0.000106
57,3.9799,1.5714,0.6484,0.8606,1647.4,0.000102
58,3.9684,1.5702,0.6496,0.8611,1648.5,0.000098
59,3.9657,1.5815,0.6497,0.8611,1651.3,0.000094
60,3.9534,1.5671,0.6514,0.8621,1628.5,0.000090
61,3.9347,1.5349,0.6563,0.8653,1626.3,0.000086
62,3.9131,1.5249,0.6585,0.8670,1624.6,0.000082
63,3.8864,1.5284,0.6594,0.8661,1625.2,0.000079
64,3.8993,1.5323,0.6587,0.8665,1622.1,0.000075
65,3.8652,1.4974,0.6620,0.8708,1622.5,0.000071
66,3.8606,1.4901,0.6650,0.8715,1621.5,0.000067
67,3.8562,1.4770,0.6688,0.8749,1622.6,0.000064
68,3.8386,1.4589,0.6691,0.8743,1623.4,0.000060
69,3.8197,1.4724,0.6705,0.8744,1624.4,0.000057
70,3.7944,1.4497,0.6734,0.8763,1627.9,0.000053
71,3.7982,1.4517,0.6765,0.8775,1625.4,0.000050
72,3.7900,1.4234,0.6768,0.8791,1626.6,0.000047
73,3.7646,1.4172,0.6799,0.8818,1624.8,0.000043
74,3.7727,1.4282,0.6793,0.8810,1626.1,0.000040
75,3.7313,1.4132,0.6838,0.8821,1626.0,0.000037
76,3.7368,1.3978,0.6850,0.8827,1627.1,0.000034
77,3.7231,1.3917,0.6858,0.8846,1633.0,0.000032
78,3.7097,1.3763,0.6871,0.8853,1630.2,0.000029
79,3.7027,1.4009,0.6891,0.8854,1623.7,0.000026
80,3.6857,1.3668,0.6900,0.8875,1623.6,0.000024
81,3.6797,1.3561,0.6921,0.8894,1626.7,0.000021
82,3.6661,1.3712,0.6903,0.8879,1626.0,0.000019
83,3.6703,1.3513,0.6941,0.8904,1625.9,0.000017
84,3.6506,1.3515,0.6957,0.8895,1621.7,0.000015
85,3.6375,1.3505,0.6971,0.8900,1622.0,0.000013
86,3.6302,1.3336,0.6995,0.8926,1627.0,0.000011
87,3.6021,1.3338,0.6973,0.8914,1627.2,0.000010
88,3.6167,1.3378,0.6978,0.8932,1622.3,0.000008
89,3.6272,1.3250,0.7000,0.8940,1633.8,0.000007
90,3.6015,1.3281,0.7005,0.8932,1628.1,0.000005
91,3.5875,1.3175,0.7002,0.8938,1636.3,0.000004
92,3.5953,1.3102,0.7020,0.8947,1640.1,0.000003
93,3.5744,1.3105,0.7040,0.8947,1640.4,0.000002
94,3.5926,1.3110,0.7023,0.8943,1641.4,0.000002
95,3.5745,1.3114,0.7031,0.8946,1636.0,0.000001
96,3.5826,1.3113,0.7035,0.8948,1665.9,0.000001
97,3.5872,1.3089,0.7034,0.8955,1657.0,0.000000
98,3.5884,1.3092,0.7034,0.8951,1650.6,0.000000
99,3.5813,1.3094,0.7036,0.8950,1641.7,0.000000
