task,mode,teacher_qkv_acc,scratch_qkv_kv_acc,zero_shot_surgery_acc,distill_epoch1_acc,distill_epoch2_acc,distill_epoch3_acc,distill_epoch4_acc,distill_epoch5_acc
REVERSE,keep_k,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0
REVERSE,keep_v,1.0,1.0,0.1226,1.0,1.0,1.0,1.0,1.0
REVERSE,avg,1.0,1.0,0.8606,1.0,1.0,1.0,1.0,1.0
SORT,keep_k,0.9975,0.9961,0.583,0.8093,0.8841,0.9299,0.9575,0.9652
SORT,keep_v,0.9975,0.9961,0.717,0.9705,0.9844,0.9932,0.9956,0.996
SORT,avg,0.9975,0.9961,0.7511,0.9678,0.9848,0.9925,0.9951,0.996
SUB,keep_k,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SUB,keep_v,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SUB,avg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SWAP,keep_k,1.0,1.0,0.0879,1.0,1.0,1.0,1.0,1.0
SWAP,keep_v,1.0,1.0,0.1223,1.0,1.0,1.0,1.0,1.0
SWAP,avg,1.0,1.0,0.9062,1.0,1.0,1.0,1.0,1.0
COPY,keep_k,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COPY,keep_v,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COPY,avg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
