dataset,mode,teacher_qkv_acc,scratch_qkv_kv_acc,zero_shot_surgery_acc,distill_epoch1_acc,distill_epoch2_acc,distill_epoch3_acc,distill_epoch4_acc,distill_epoch5_acc
mnist,keep_k,0.9814,0.9779,0.1143,0.9582,0.97,0.9749,0.9784,0.9792
mnist,keep_v,0.9814,0.9779,0.1511,0.974,0.9789,0.981,0.9813,0.9815
mnist,avg,0.9814,0.9779,0.9097,0.9814,0.9813,0.9835,0.9825,0.9826
fmnist,keep_k,0.8874,0.8817,0.0835,0.8509,0.8677,0.8764,0.8778,0.8806
fmnist,keep_v,0.8874,0.8817,0.1047,0.8627,0.8734,0.8797,0.8812,0.8829
fmnist,avg,0.8874,0.8817,0.8113,0.8839,0.8856,0.8874,0.8888,0.8884
cifar10,keep_k,0.6959,0.6976,0.076,0.5262,0.59,0.6116,0.6267,0.6311
cifar10,keep_v,0.6959,0.6976,0.1525,0.6364,0.6715,0.6807,0.6829,0.6856
cifar10,avg,0.6959,0.6976,0.3681,0.6813,0.6839,0.691,0.6963,0.6963
cifar100,keep_k,0.4374,0.4452,0.0067,0.2547,0.3487,0.3735,0.3804,0.3837
cifar100,keep_v,0.4374,0.4452,0.0214,0.3872,0.4165,0.4202,0.4231,0.424
cifar100,avg,0.4374,0.4452,0.1092,0.411,0.4207,0.4295,0.4329,0.4321
