domain,name,alpha,mode,acc,acc_std,acc_all_seeds,teacher_acc,scratch_acc
synthetic,REVERSE,0.0,alpha,0.1226,,,1.0,1.0
synthetic,REVERSE,0.1,alpha,0.1846,,,1.0,1.0
synthetic,REVERSE,0.2,alpha,0.4092,,,1.0,1.0
synthetic,REVERSE,0.3,alpha,0.754,,,1.0,1.0
synthetic,REVERSE,0.4,alpha,0.8799,,,1.0,1.0
synthetic,REVERSE,0.5,alpha,0.8606,,,1.0,1.0
synthetic,REVERSE,0.6,alpha,0.7194,,,1.0,1.0
synthetic,REVERSE,0.7,alpha,0.5129,,,1.0,1.0
synthetic,REVERSE,0.8,alpha,0.326,,,1.0,1.0
synthetic,REVERSE,0.9,alpha,0.182,,,1.0,1.0
synthetic,REVERSE,1.0,alpha,0.1,,,1.0,1.0
synthetic,REVERSE,random,random,0.0995,0.0004,0.0989;0.0994;0.0999;0.0993;0.0999,1.0,1.0
synthetic,SORT,0.0,alpha,0.717,,,0.9975,0.9961
synthetic,SORT,0.1,alpha,0.7723,,,0.9975,0.9961
synthetic,SORT,0.2,alpha,0.8063,,,0.9975,0.9961
synthetic,SORT,0.3,alpha,0.811,,,0.9975,0.9961
synthetic,SORT,0.4,alpha,0.7899,,,0.9975,0.9961
synthetic,SORT,0.5,alpha,0.7511,,,0.9975,0.9961
synthetic,SORT,0.6,alpha,0.709,,,0.9975,0.9961
synthetic,SORT,0.7,alpha,0.6705,,,0.9975,0.9961
synthetic,SORT,0.8,alpha,0.6416,,,0.9975,0.9961
synthetic,SORT,0.9,alpha,0.6111,,,0.9975,0.9961
synthetic,SORT,1.0,alpha,0.583,,,0.9975,0.9961
synthetic,SORT,random,random,0.5842,0.0099,0.5847;0.5852;0.5974;0.5696;0.5843,0.9975,0.9961
synthetic,SUB,0.0,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.1,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.2,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.3,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.4,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.5,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.6,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.7,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.8,alpha,1.0,,,1.0,1.0
synthetic,SUB,0.9,alpha,1.0,,,1.0,1.0
synthetic,SUB,1.0,alpha,1.0,,,1.0,1.0
synthetic,SUB,random,random,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000,1.0,1.0
synthetic,SWAP,0.0,alpha,0.1223,,,1.0,1.0
synthetic,SWAP,0.1,alpha,0.1886,,,1.0,1.0
synthetic,SWAP,0.2,alpha,0.4392,,,1.0,1.0
synthetic,SWAP,0.3,alpha,0.797,,,1.0,1.0
synthetic,SWAP,0.4,alpha,0.9217,,,1.0,1.0
synthetic,SWAP,0.5,alpha,0.9062,,,1.0,1.0
synthetic,SWAP,0.6,alpha,0.7759,,,1.0,1.0
synthetic,SWAP,0.7,alpha,0.5493,,,1.0,1.0
synthetic,SWAP,0.8,alpha,0.3206,,,1.0,1.0
synthetic,SWAP,0.9,alpha,0.1798,,,1.0,1.0
synthetic,SWAP,1.0,alpha,0.0879,,,1.0,1.0
synthetic,SWAP,random,random,0.1002,0.001,0.0986;0.1008;0.1005;0.0996;0.1013,1.0,1.0
synthetic,COPY,0.0,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.1,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.2,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.3,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.4,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.5,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.6,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.7,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.8,alpha,1.0,,,1.0,1.0
synthetic,COPY,0.9,alpha,1.0,,,1.0,1.0
synthetic,COPY,1.0,alpha,1.0,,,1.0,1.0
synthetic,COPY,random,random,1.0,0.0,1.0000;1.0000;1.0000;1.0000;1.0000,1.0,1.0
vision,mnist,0.0,alpha,0.1511,,,0.9814,0.9779
vision,mnist,0.1,alpha,0.2664,,,0.9814,0.9779
vision,mnist,0.2,alpha,0.4903,,,0.9814,0.9779
vision,mnist,0.3,alpha,0.765,,,0.9814,0.9779
vision,mnist,0.4,alpha,0.8861,,,0.9814,0.9779
vision,mnist,0.5,alpha,0.9097,,,0.9814,0.9779
vision,mnist,0.6,alpha,0.8381,,,0.9814,0.9779
vision,mnist,0.7,alpha,0.5995,,,0.9814,0.9779
vision,mnist,0.8,alpha,0.2652,,,0.9814,0.9779
vision,mnist,0.9,alpha,0.1296,,,0.9814,0.9779
vision,mnist,1.0,alpha,0.1143,,,0.9814,0.9779
vision,mnist,random,random,0.0905,0.0124,0.0793;0.1009;0.0961;0.0751;0.1010,0.9814,0.9779
vision,fmnist,0.0,alpha,0.1047,,,0.8874,0.8817
vision,fmnist,0.1,alpha,0.1161,,,0.8874,0.8817
vision,fmnist,0.2,alpha,0.158,,,0.8874,0.8817
vision,fmnist,0.3,alpha,0.3933,,,0.8874,0.8817
vision,fmnist,0.4,alpha,0.7502,,,0.8874,0.8817
vision,fmnist,0.5,alpha,0.8113,,,0.8874,0.8817
vision,fmnist,0.6,alpha,0.7819,,,0.8874,0.8817
vision,fmnist,0.7,alpha,0.6269,,,0.8874,0.8817
vision,fmnist,0.8,alpha,0.4077,,,0.8874,0.8817
