layer,cka_baseline,cka_after_linear,cka_after_procrustes,linear_map_singular_values_mean,linear_map_singular_values_std
0,0.942,0.9909,0.9407,0.0195,0.0594
1,0.9441,0.9803,0.9376,0.0148,0.0491
2,0.7899,0.9717,0.7879,0.0166,0.0557
3,0.7423,0.968,0.7986,0.019,0.0648
4,0.7674,0.9527,0.7887,0.0165,0.0614
5,0.8397,0.9503,0.8553,0.0193,0.0702
6,0.9425,0.983,0.9482,0.0229,0.0816
7,0.9083,0.968,0.9291,0.0378,0.1333
8,0.6534,0.9274,0.6999,0.0212,0.0942
9,0.5136,0.8121,0.5437,0.0083,0.0526
10,0.5891,0.8015,0.6043,0.0025,0.0164
11,0.5759,0.8672,0.6042,0.0064,0.0318
12,0.587,0.859,0.6107,0.0035,0.0178
13,0.4746,0.8221,0.4995,0.0053,0.0238
14,0.4701,0.9178,0.5239,0.011,0.0441
15,0.4893,0.9128,0.5566,0.0164,0.0545
16,0.5393,0.9284,0.606,0.0167,0.0552
17,0.5936,0.9208,0.6474,0.0169,0.0539
18,0.6882,0.9318,0.7369,0.0171,0.0524
19,0.7953,0.9547,0.8289,0.0194,0.0588
