domain,task_or_dataset,layer,cka_baseline,cka_after_linear,cka_after_procrustes,linear_map_singular_values_mean,linear_map_singular_values_std
synthetic,REVERSE,0,0.5444,0.9535,0.5484,0.221,0.5
synthetic,REVERSE,1,0.817,0.9928,0.8248,0.2662,0.5278
synthetic,SORT,0,0.5601,0.9967,0.5658,0.3875,0.8141
synthetic,SORT,1,0.7349,0.9993,0.8017,0.339,0.6455
synthetic,SUB,0,0.9361,0.9984,0.935,0.2507,0.4324
synthetic,SUB,1,0.934,0.9987,0.9327,0.2635,0.4375
synthetic,SWAP,0,0.5419,0.9534,0.5459,0.2203,0.5014
synthetic,SWAP,1,0.8262,0.9933,0.8296,0.2653,0.5275
synthetic,COPY,0,0.9434,0.9985,0.9424,0.2515,0.4341
synthetic,COPY,1,0.926,0.9988,0.9266,0.2632,0.4345
vision,mnist,0,0.7394,0.9987,0.7739,0.3278,0.9198
vision,mnist,1,0.3318,0.9955,0.5005,0.3935,0.9992
vision,fmnist,0,0.773,0.9988,0.8229,0.3528,0.9393
vision,fmnist,1,0.5762,0.9972,0.6699,0.2836,0.7642
vision,cifar10,0,0.8286,0.9985,0.8613,0.3714,1.0938
vision,cifar10,1,0.5807,0.994,0.6539,0.4788,1.1151
vision,cifar100,0,0.7948,0.9989,0.8499,0.4373,1.1997
vision,cifar100,1,0.6966,0.9917,0.7784,0.5995,1.1113
