domain,task_or_dataset,layer,cka_teacher_k_v,cka_scratch_vs_teacher_k,cka_scratch_vs_teacher_v
synthetic,REVERSE,0,0.5444,0.8797,0.7684
synthetic,REVERSE,1,0.817,0.4466,0.4821
synthetic,SORT,0,0.5601,0.7399,0.8529
synthetic,SORT,1,0.7349,0.8183,0.9129
synthetic,SUB,0,0.9361,0.8262,0.7947
synthetic,SUB,1,0.934,0.6993,0.7385
synthetic,SWAP,0,0.5419,0.8874,0.7626
synthetic,SWAP,1,0.8262,0.5968,0.626
synthetic,COPY,0,0.9434,0.8121,0.7882
synthetic,COPY,1,0.926,0.696,0.732
vision,mnist,0,0.7394,0.7967,0.7996
vision,mnist,1,0.3318,0.5108,0.1313
vision,fmnist,0,0.773,0.7138,0.8011
vision,fmnist,1,0.5762,0.3652,0.3122
vision,cifar10,0,0.8286,0.9061,0.9172
vision,cifar10,1,0.5807,0.49,0.3677
vision,cifar100,0,0.7948,0.9052,0.9348
vision,cifar100,1,0.6966,0.5168,0.5694
