domain,name,layer,linear_cka,rbf_cka
synthetic,REVERSE,0,0.5446,0.6105
synthetic,REVERSE,1,0.8173,0.8498
synthetic,SORT,0,0.5599,0.6502
synthetic,SORT,1,0.7351,0.8121
synthetic,SUB,0,0.9361,0.9507
synthetic,SUB,1,0.9341,0.9472
synthetic,SWAP,0,0.5418,0.6039
synthetic,SWAP,1,0.8266,0.8613
synthetic,COPY,0,0.9434,0.9559
synthetic,COPY,1,0.9257,0.9398
vision,mnist,0,0.7375,0.8434
vision,mnist,1,0.3296,0.4104
vision,fmnist,0,0.7714,0.813
vision,fmnist,1,0.5729,0.6573
vision,cifar10,0,0.8316,0.8719
vision,cifar10,1,0.5814,0.6143
vision,cifar100,0,0.7944,0.8318
vision,cifar100,1,0.6991,0.7213
