task,variant,step,loss_mean
REVERSE,QKV,0,2.43930
REVERSE,QKV,1,2.43266
REVERSE,QKV,2,2.43631
REVERSE,QKV,3,2.43213
REVERSE,QKV,4,2.42869
REVERSE,QKV,5,2.42226
REVERSE,QKV,6,2.42343
REVERSE,QKV,7,2.41952
REVERSE,QKV,8,2.41311
REVERSE,QKV,9,2.40578
REVERSE,QKV,10,2.39732
REVERSE,QKV,11,2.38862
REVERSE,QKV,12,2.39279
REVERSE,QKV,13,2.38064
REVERSE,QKV,14,2.37349
REVERSE,QKV,15,2.37616
REVERSE,QKV,16,2.36913
REVERSE,QKV,17,2.35685
REVERSE,QKV,18,2.35903
REVERSE,QKV,19,2.35244
REVERSE,QKV,20,2.34158
REVERSE,QKV,21,2.34092
REVERSE,QKV,22,2.33834
REVERSE,QKV,23,2.33361
REVERSE,QKV,24,2.33075
REVERSE,QKV,25,2.32584
REVERSE,QKV,26,2.32236
REVERSE,QKV,27,2.32335
REVERSE,QKV,28,2.32018
REVERSE,QKV,29,2.31860
REVERSE,QKV,30,2.31517
REVERSE,QKV,31,2.31491
REVERSE,QKV,32,2.31357
REVERSE,QKV,33,2.31218
REVERSE,QKV,34,2.31163
REVERSE,QKV,35,2.31080
REVERSE,QKV,36,2.31033
REVERSE,QKV,37,2.30909
REVERSE,QKV,38,2.30713
REVERSE,QKV,39,2.30768
REVERSE,QKV,40,2.30759
REVERSE,QKV,41,2.30655
REVERSE,QKV,42,2.30565
REVERSE,QKV,43,2.30610
REVERSE,QKV,44,2.30555
REVERSE,QKV,45,2.30611
REVERSE,QKV,46,2.30524
REVERSE,QKV,47,2.30560
REVERSE,QKV,48,2.30516
REVERSE,QKV,49,2.30448
REVERSE,QKV,50,2.30488
REVERSE,QKV,51,2.30508
REVERSE,QKV,52,2.30461
REVERSE,QKV,53,2.30406
REVERSE,QKV,54,2.30385
REVERSE,QKV,55,2.30394
REVERSE,QKV,56,2.30368
REVERSE,QKV,57,2.30435
REVERSE,QKV,58,2.30329
REVERSE,QKV,59,2.30333
REVERSE,QKV,60,2.30295
REVERSE,QKV,61,2.30402
