variant,task,n_embd,n_layer,n_head,seq_len,seed,accuracy
QKV,REVERSE,32,2,2,16,1,0.3485
QKV,REVERSE,32,2,2,64,0,0.1012
QKV,REVERSE,32,2,2,64,2,0.1016
QKV,REVERSE,32,2,2,128,1,0.0993
QKV,REVERSE,32,2,4,16,0,0.2986
QKV,REVERSE,32,2,4,16,2,0.2215
QKV,REVERSE,32,2,4,64,1,0.1009
QKV,REVERSE,32,2,4,128,0,0.0994
QKV,REVERSE,32,2,4,128,2,0.0999
QKV,REVERSE,32,4,2,16,1,0.4693
QKV,REVERSE,32,4,2,64,0,0.1006
QKV,REVERSE,32,4,2,64,2,0.1011
QKV,REVERSE,32,4,2,128,1,0.1004
QKV,REVERSE,32,4,4,16,0,0.2048
QKV,REVERSE,32,4,4,16,2,0.2446
QKV,REVERSE,32,4,4,64,1,0.1016
QKV,REVERSE,32,4,4,128,0,0.1006
QKV,REVERSE,32,4,4,128,2,0.1010
QKV,REVERSE,64,2,2,16,1,1.0000
QKV,REVERSE,64,2,2,64,0,0.1777
QKV,REVERSE,64,2,2,64,2,0.2909
QKV,REVERSE,64,2,2,128,1,0.1013
QKV,REVERSE,64,2,4,16,0,1.0000
QKV,REVERSE,64,2,4,16,2,1.0000
QKV,REVERSE,64,2,4,64,1,0.1103
QKV,REVERSE,64,2,4,128,0,0.1016
QKV,REVERSE,64,2,4,128,2,0.1018
QKV,REVERSE,64,4,2,16,1,1.0000
QKV,REVERSE,64,4,2,64,0,0.1102
QKV,REVERSE,64,4,2,64,2,0.1534
QKV,REVERSE,64,4,2,128,1,0.1009
QKV,REVERSE,64,4,4,16,0,1.0000
QKV,REVERSE,64,4,4,16,2,1.0000
QKV,REVERSE,64,4,4,64,1,0.1062
QKV,REVERSE,64,4,4,128,0,0.1003
QKV,REVERSE,64,4,4,128,2,0.1024
QKV,REVERSE,256,2,2,16,1,1.0000
QKV,REVERSE,256,2,2,64,0,1.0000
QKV,REVERSE,256,2,2,64,2,1.0000
QKV,REVERSE,256,2,2,128,1,1.0000
QKV,REVERSE,256,2,4,16,0,1.0000
QKV,REVERSE,256,2,4,16,2,1.0000
QKV,REVERSE,256,2,4,64,1,1.0000
QKV,REVERSE,256,2,4,128,0,1.0000
QKV,REVERSE,256,2,4,128,2,1.0000
QKV,REVERSE,256,4,2,16,1,1.0000
QKV,REVERSE,256,4,2,64,0,1.0000
QKV,REVERSE,256,4,2,64,2,1.0000
QKV,REVERSE,256,4,2,128,1,1.0000
QKV,REVERSE,256,4,4,16,0,1.0000
QKV,REVERSE,256,4,4,16,2,1.0000
QKV,REVERSE,256,4,4,64,1,1.0000
QKV,REVERSE,256,4,4,128,0,1.0000
QKV,REVERSE,256,4,4,128,2,1.0000
QKV,SORT,32,2,2,16,1,0.4479
QKV,SORT,32,2,2,64,0,0.6384
QKV,SORT,32,2,2,64,2,0.6395
QKV,SORT,32,2,2,128,1,0.7299
QKV,SORT,32,2,4,16,0,0.4379
QKV,SORT,32,2,4,16,2,0.4593
QKV,SORT,32,2,4,64,1,0.6367
QKV,SORT,32,2,4,128,0,0.7334
QKV,SORT,32,2,4,128,2,0.7330
QKV,SORT,32,4,2,16,1,0.5920
QKV,SORT,32,4,2,64,0,0.6419
QKV,SORT,32,4,2,64,2,0.6462
QKV,SORT,32,4,2,128,1,0.7378
QKV,SORT,32,4,4,16,0,0.5131
QKV,SORT,32,4,4,16,2,0.5821
QKV,SORT,32,4,4,64,1,0.6562
QKV,SORT,32,4,4,128,0,0.7366
QKV,SORT,32,4,4,128,2,0.7351
QKV,SORT,64,2,2,16,1,0.5339
QKV,SORT,64,2,2,64,0,0.6821
QKV,SORT,64,2,2,64,2,0.6788
QKV,SORT,64,2,2,128,1,0.7427
QKV,SORT,64,2,4,16,0,0.6600
QKV,SORT,64,2,4,16,2,0.6705
QKV,SORT,64,2,4,64,1,0.6727
QKV,SORT,64,2,4,128,0,0.7406
QKV,SORT,64,2,4,128,2,0.7429
QKV,SORT,64,4,2,16,1,0.7370
QKV,SORT,64,4,2,64,0,0.7614
QKV,SORT,64,4,2,64,2,0.7692
QKV,SORT,64,4,2,128,1,0.7481
QKV,SORT,64,4,4,16,0,0.7704
QKV,SORT,64,4,4,16,2,0.8399
QKV,SORT,64,4,4,64,1,0.6827
QKV,SORT,64,4,4,128,0,0.7783
QKV,SORT,64,4,4,128,2,0.7977
QKV,SORT,256,2,2,16,1,0.9480
QKV,SORT,256,2,2,64,0,0.8575
QKV,SORT,256,2,2,64,2,0.8538
QKV,SORT,256,2,2,128,1,0.8760
QKV,SORT,256,2,4,16,0,0.9556
QKV,SORT,256,2,4,16,2,0.9666
QKV,SORT,256,2,4,64,1,0.8642
QKV,SORT,256,2,4,128,0,0.8952
QKV,SORT,256,2,4,128,2,0.8845
QKV,SORT,256,4,2,16,1,0.9898
QKV,SORT,256,4,2,64,0,0.8537
QKV,SORT,256,4,2,64,2,0.8718
QKV,SORT,256,4,2,128,1,0.8838
QKV,SORT,256,4,4,16,0,0.9932
QKV,SORT,256,4,4,16,2,0.9934
QKV,SORT,256,4,4,64,1,0.8683
QKV,SORT,256,4,4,128,0,0.9079
QKV,SORT,256,4,4,128,2,0.9004
QKV,SUB,32,2,2,16,1,1.0000
QKV,SUB,32,2,2,64,0,0.9392
QKV,SUB,32,2,2,64,2,0.9785
QKV,SUB,32,2,2,128,1,0.9154
QKV,SUB,32,2,4,16,0,1.0000
QKV,SUB,32,2,4,16,2,1.0000
QKV,SUB,32,2,4,64,1,0.9799
QKV,SUB,32,2,4,128,0,0.8708
QKV,SUB,32,2,4,128,2,0.9246
QKV,SUB,32,4,2,16,1,1.0000
QKV,SUB,32,4,2,64,0,1.0000
