variant,dataset,patch,lr,n_embd,n_layer,n_head,run,accuracy
QKV,mnist,4,0.001,256,2,2,0,0.9855
QKV,fmnist,4,0.001,256,2,2,0,0.8798
QKV,cifar10,4,0.001,256,2,2,0,0.6839
QKV,cifar100,4,0.001,256,2,2,0,0.3978
Q=K!=V,mnist,4,0.001,256,2,2,0,0.9844
Q=K!=V,fmnist,4,0.001,256,2,2,0,0.8842
Q=K!=V,cifar10,4,0.001,256,2,2,0,0.7077
Q=K!=V,cifar100,4,0.001,256,2,2,0,0.4334
(Q=K!=V)+,mnist,4,0.001,256,2,2,0,0.9721
(Q=K!=V)+,fmnist,4,0.001,256,2,2,0,0.8910
(Q=K!=V)+,cifar10,4,0.001,256,2,2,0,0.7150
(Q=K!=V)+,cifar100,4,0.001,256,2,2,0,0.3559
Q!=K=V,mnist,4,0.001,256,2,2,0,0.9759
Q!=K=V,fmnist,4,0.001,256,2,2,0,0.8733
Q!=K=V,cifar10,4,0.001,256,2,2,0,0.6739
Q!=K=V,cifar100,4,0.001,256,2,2,0,0.3915
Q=K=V,mnist,4,0.001,256,2,2,0,0.9778
Q=K=V,fmnist,4,0.001,256,2,2,0,0.8924
Q=K=V,cifar10,4,0.001,256,2,2,0,0.7224
Q=K=V,cifar100,4,0.001,256,2,2,0,0.4220
(Q=K=V)+,mnist,4,0.001,256,2,2,0,0.9784
(Q=K=V)+,fmnist,4,0.001,256,2,2,0,0.8718
(Q=K=V)+,cifar10,4,0.001,256,2,2,0,0.7190
(Q=K=V)+,cifar100,4,0.001,256,2,2,0,0.3866
